user_id,item_id,rating
4390,W178,2.1
4838,W472,1.0
1858,W477,1.8
3372,W68,2.9
3731,W224,1.1
1304,W196,1.3
2378,W347,3.8
4610,W252,3.4
1157,W113,4.3
4695,W16,1.9
2945,W149,4.1
4390,W365,1.8
124,W271,3.3
3133,W219,3.2
3506,W187,1.9
4009,W337,1.7
3659,W92,2.6
1209,W412,3.6
1895,W199,4.4
1555,W193,3.2
3423,W390,1.0
2132,W330,1.8
1884,W479,4.4
1040,W141,4.8
554,W170,2.2
1808,W410,2.1
1664,W25,3.2
2980,W134,3.9
1048,W160,3.1
3375,W418,1.6
726,W154,3.3
1014,W454,2.1
2456,W450,3.3
2020,W86,3.1
1505,W396,1.7
1972,W189,3.2
2159,W158,4.2
3252,W247,2.9
1009,W72,3.2
3506,W476,3.5
1593,W304,1.0
4930,W463,3.4
241,W468,4.7
1498,W430,1.3
2650,W224,3.4
3040,W456,1.2
4656,W419,3.6
98,W377,4.4
2053,W102,4.5
177,W46,2.5
4511,W176,4.4
2980,W478,1.8
2746,W313,3.8
1430,W441,3.0
4764,W175,4.9
1302,W388,3.5
3611,W212,3.9
826,W5,3.1
3057,W228,4.4
2842,W383,2.9
1716,W123,1.4
966,W467,4.2
1277,W145,1.7
2289,W17,3.4
2617,W350,2.9
4234,W28,3.5
3743,W408,3.5
4335,W463,2.1
2758,W319,3.5
3702,W312,2.2
2122,W180,1.6
123,W285,2.6
493,W74,4.4
4832,W206,4.6
3590,W282,2.8
594,W361,4.3
1197,W89,1.9
2766,W484,3.8
394,W171,4.5
4028,W362,3.8
3509,W500,1.2
4141,W417,4.6
1491,W379,4.0
4843,W151,3.6
2041,W114,1.2
2597,W439,3.2
97,W74,2.8
3502,W389,4.4
2237,W455,4.3
2409,W213,2.7
3423,W461,4.7
4398,W41,1.2
4333,W61,3.2
3556,W488,4.4
2607,W481,3.2
2935,W428,4.6
1864,W17,1.3
141,W251,2.9
1460,W85,3.8
4379,W111,1.3
341,W56,4.0
4094,W319,1.1
3425,W209,3.4
3488,W35,1.9
798,W281,4.6
2100,W220,2.7
280,W126,3.1
2776,W343,1.8
796,W106,1.7
4837,W132,3.6
3595,W250,2.8
4574,W338,4.0
1527,W150,4.7
1540,W192,1.4
906,W270,1.3
1863,W48,1.4
4408,W122,4.3
2018,W335,1.4
1811,W153,2.3
800,W151,4.0
2373,W52,1.6
1656,W467,2.8
2899,W138,2.3
4562,W405,3.0
2697,W341,2.7
1481,W441,3.1
2136,W305,1.1
839,W448,4.1
3960,W149,4.0
2572,W230,2.1
1804,W122,2.5
3162,W474,1.8
1319,W90,4.3
898,W337,1.2
2251,W210,3.0
777,W412,4.3
1360,W331,3.3
827,W92,1.5
3065,W2,1.6
3132,W489,1.9
1312,W262,1.2
4123,W322,1.1
394,W428,3.2
4782,W460,4.5
2395,W98,3.6
2131,W412,2.9
4009,W115,1.0
1792,W256,3.5
4419,W356,3.3
1955,W235,1.8
1340,W471,2.5
1097,W446,4.2
2546,W319,1.2
4863,W387,1.3
1079,W278,3.3
1548,W344,3.0
3627,W45,2.5
2231,W237,1.8
67,W327,4.6
3365,W318,3.4
1377,W457,3.8
1172,W47,4.5
239,W86,2.1
2545,W102,3.0
197,W322,5.0
3658,W231,4.8
2107,W106,3.5
3472,W69,2.5
2406,W7,1.2
2898,W361,4.7
2043,W15,3.0
2668,W465,4.8
3421,W35,1.5
2732,W187,4.2
2498,W491,2.9
4252,W64,4.8
1425,W370,1.7
3610,W319,2.6
4070,W167,1.3
1835,W43,1.6
4536,W17,2.4
2132,W148,2.1
30,W244,3.3
873,W79,3.4
3292,W453,3.4
2599,W302,3.6
4306,W99,2.1
378,W350,4.6
2722,W275,2.0
858,W329,1.4
2845,W217,4.6
4760,W189,4.7
1901,W381,4.8
1087,W269,3.0
2698,W168,3.4
1056,W160,1.5
3454,W252,4.3
1649,W165,2.3
1140,W234,4.4
932,W88,1.8
484,W359,3.6
1574,W376,3.4
4239,W147,1.6
4701,W292,4.7
1647,W22,1.6
3593,W159,1.1
1397,W283,4.7
2893,W64,1.9
3076,W368,1.2
4642,W368,2.4
2885,W107,2.4
3908,W356,3.6
2970,W492,2.0
1917,W484,3.0
1003,W364,4.0
989,W113,1.8
33,W345,2.2
1590,W116,2.0
3755,W10,3.9
1583,W369,1.6
3380,W311,1.7
4835,W429,1.5
2362,W43,4.3
2984,W223,1.3
4521,W146,3.4
2926,W388,2.8
3727,W473,3.0
3573,W151,4.8
4292,W388,3.5
3438,W372,4.9
4114,W39,3.6
2257,W131,3.8
718,W14,4.9
4269,W386,4.7
2984,W151,3.7
1540,W461,3.2
604,W377,4.7
3742,W161,2.4
2261,W18,2.5
1324,W230,5.0
632,W251,3.3
106,W403,4.1
422,W128,3.5
1297,W181,2.3
1371,W25,2.4
3548,W313,3.9
1087,W124,1.4
3400,W372,3.3
3115,W369,3.3
3956,W460,3.9
3511,W222,1.1
3034,W417,4.9
1071,W29,4.2
1393,W389,2.7
1875,W426,4.3
1028,W102,4.3
4996,W29,3.7
3250,W46,3.0
3423,W198,1.7
498,W325,4.9
4783,W80,4.5
1891,W16,1.3
4184,W385,2.5
2131,W478,2.7
3016,W244,1.0
4689,W41,3.4
1289,W406,2.2
4188,W24,4.8
3789,W233,2.4
3273,W43,1.9
3191,W304,2.6
3102,W239,4.9
3596,W56,2.1
2419,W116,2.6
3299,W449,1.4
128,W279,2.4
4320,W121,4.5
1668,W82,1.9
3512,W96,3.5
2062,W14,4.9
1801,W265,3.3
4399,W320,4.6
3620,W366,2.1
477,W424,4.1
1808,W300,4.0
31,W283,4.8
2699,W14,4.0
4181,W432,1.9
2907,W460,1.7
871,W444,2.1
3811,W345,2.7
3761,W285,2.9
712,W25,2.0
762,W46,2.9
1698,W92,4.2
159,W196,4.0
3506,W449,3.1
2906,W110,3.5
2672,W462,1.8
1931,W14,1.1
2586,W287,2.9
3232,W306,2.5
2753,W422,2.7
33,W112,3.6
2406,W453,2.9
2102,W132,1.4
1567,W239,1.2
2279,W34,1.7
2605,W461,3.6
4381,W214,3.7
1393,W450,4.7
606,W339,4.1
487,W197,1.8
2998,W5,2.6
38,W68,4.4
1908,W42,1.1
682,W36,2.8
1273,W458,2.2
4972,W65,3.4
1610,W29,1.1
320,W250,2.0
4406,W195,3.5
3296,W299,4.5
1908,W187,4.4
1589,W110,2.3
74,W112,1.5
14,W50,4.9
3070,W360,1.7
1255,W55,1.7
3588,W110,3.0
659,W154,2.1
