meal_id,name,meal_type,calories,protein,carbs,fat
M1,Meal 1,dinner,632,30.6,60.3,9.9
M2,Meal 2,breakfast,555,20.5,70.6,7.5
M3,Meal 3,lunch,326,27.0,58.0,25.7
M4,Meal 4,dinner,737,17.4,37.7,30.1
M5,Meal 5,breakfast,890,38.6,71.3,14.6
M6,Meal 6,dinner,641,33.9,44.0,24.3
M7,Meal 7,snack,321,38.8,23.1,29.0
M8,Meal 8,breakfast,202,22.0,49.5,34.2
M9,Meal 9,breakfast,335,29.6,54.8,16.0
M10,Meal 10,breakfast,586,11.7,73.3,5.0
M11,Meal 11,breakfast,350,8.0,32.2,13.9
M12,Meal 12,dinner,880,28.0,30.8,15.8
M13,Meal 13,snack,739,37.7,41.7,34.7
M14,Meal 14,dinner,697,31.6,23.9,9.5
M15,Meal 15,dinner,851,30.3,75.3,17.0
M16,Meal 16,lunch,893,12.4,73.2,22.5
M17,Meal 17,dinner,758,33.9,66.8,6.2
M18,Meal 18,breakfast,414,39.0,37.1,15.4
M19,Meal 19,snack,249,39.7,43.2,29.7
M20,Meal 20,breakfast,771,21.3,67.3,17.6
M21,Meal 21,breakfast,718,21.6,54.6,21.2
M22,Meal 22,breakfast,228,19.1,64.2,29.9
M23,Meal 23,dinner,899,37.2,71.9,18.5
M24,Meal 24,snack,315,5.3,68.0,24.2
M25,Meal 25,dinner,889,37.4,44.9,21.7
M26,Meal 26,lunch,631,18.7,68.4,25.6
M27,Meal 27,dinner,596,37.8,47.9,12.4
M28,Meal 28,dinner,535,22.7,32.3,26.9
M29,Meal 29,snack,241,30.7,24.2,31.5
M30,Meal 30,dinner,563,26.9,47.2,10.6
M31,Meal 31,lunch,492,8.4,24.9,24.6
M32,Meal 32,dinner,321,14.8,49.3,27.7
M33,Meal 33,snack,873,34.9,41.0,24.0
M34,Meal 34,breakfast,642,13.4,50.7,16.5
M35,Meal 35,dinner,267,26.3,40.6,34.6
M36,Meal 36,lunch,793,7.2,23.5,16.8
M37,Meal 37,breakfast,412,25.0,43.9,20.0
M38,Meal 38,snack,225,15.3,22.4,14.1
M39,Meal 39,breakfast,569,38.6,34.9,15.2
M40,Meal 40,snack,774,38.2,59.8,32.7
M41,Meal 41,snack,839,28.1,45.7,12.8
M42,Meal 42,dinner,266,23.6,42.2,8.2
M43,Meal 43,dinner,618,12.3,66.2,13.0
M44,Meal 44,dinner,296,9.8,35.7,5.8
M45,Meal 45,dinner,354,28.9,55.5,21.9
M46,Meal 46,dinner,701,7.1,50.4,30.7
M47,Meal 47,dinner,696,19.6,21.0,15.6
M48,Meal 48,dinner,587,6.2,56.0,18.1
M49,Meal 49,dinner,288,24.3,23.4,30.8
M50,Meal 50,breakfast,531,10.9,59.3,22.1
M51,Meal 51,snack,810,23.0,61.7,28.3
M52,Meal 52,dinner,842,24.2,50.1,7.9
M53,Meal 53,breakfast,458,38.0,64.0,21.8
M54,Meal 54,lunch,526,23.6,49.9,33.0
M55,Meal 55,dinner,497,27.9,75.9,13.0
M56,Meal 56,snack,293,6.8,71.2,28.3
M57,Meal 57,snack,371,35.8,67.2,11.3
M58,Meal 58,dinner,295,24.8,24.7,22.3
M59,Meal 59,snack,665,12.2,48.0,27.7
M60,Meal 60,breakfast,510,36.0,56.7,34.7
M61,Meal 61,lunch,205,23.2,39.0,10.7
M62,Meal 62,snack,342,21.4,70.3,24.3
M63,Meal 63,lunch,595,39.8,55.3,27.0
M64,Meal 64,dinner,785,24.7,29.3,26.6
M65,Meal 65,snack,866,5.5,47.9,23.2
M66,Meal 66,dinner,298,8.4,78.7,20.2
M67,Meal 67,snack,881,33.4,60.2,11.7
M68,Meal 68,lunch,402,5.0,30.5,19.3
M69,Meal 69,snack,590,9.1,21.2,25.2
M70,Meal 70,snack,558,10.9,50.4,20.5
M71,Meal 71,dinner,599,26.4,69.9,18.9
M72,Meal 72,breakfast,768,27.5,50.9,24.1
M73,Meal 73,lunch,230,12.7,45.7,7.1
M74,Meal 74,lunch,258,18.9,72.4,24.2
M75,Meal 75,lunch,632,36.2,29.0,14.6
M76,Meal 76,breakfast,824,37.1,48.5,22.7
M77,Meal 77,snack,742,23.3,53.6,26.8
M78,Meal 78,lunch,420,21.0,36.2,21.6
M79,Meal 79,breakfast,488,10.4,46.2,10.7
M80,Meal 80,dinner,497,35.5,58.2,24.8
M81,Meal 81,dinner,566,26.0,72.4,23.2
M82,Meal 82,lunch,471,33.4,72.6,23.0
M83,Meal 83,dinner,587,25.7,22.3,18.6
M84,Meal 84,breakfast,698,8.5,77.8,18.8
M85,Meal 85,snack,231,6.4,36.0,8.8
M86,Meal 86,snack,426,25.7,30.4,6.5
M87,Meal 87,dinner,570,23.0,25.8,27.3
M88,Meal 88,snack,774,18.0,51.2,33.5
M89,Meal 89,lunch,389,6.6,29.5,16.8
M90,Meal 90,snack,284,30.1,75.7,28.8
M91,Meal 91,lunch,711,29.7,63.4,34.4
M92,Meal 92,breakfast,444,33.0,79.2,20.2
M93,Meal 93,dinner,606,29.1,20.2,6.4
M94,Meal 94,breakfast,867,14.9,28.6,8.7
M95,Meal 95,breakfast,657,38.2,26.8,6.3
M96,Meal 96,snack,885,11.6,48.7,15.5
